itemType,name,author,edition,publisherName,itemID,libLocation,copyNumber,dueDate,rentalEnabled,price
Book,Harry Potter,JK Rowling,6th,Bloomsbury,123,York Stacy,-1,03-24-2024 05:26:19,true,-1.0
Book,Life of Pie,Yann Martel,6th,The Golden Globe,456,York Stacy,-1,03-30-2024 05:26:19,true,-1.0
CD,Thriller,Michael Jackson,7th,CBS,789,York Scott,-1,03-30-2024 05:26:19,true,-1.0
CD,Abbey Road,The Beatles,7th,CBS,987,York Scott,-1,03-30-2024 05:26:19,true,-1.0
DVD,The Beauty Of Nature,Pixar,4th,Earth World,543,York Lanes,-1,03-30-2024 05:26:19,true,-1.0
DVD,Interstellar,Christopher Nolan,1st,Paramount,654,York Scott,-1,03-19-2024 05:26:19,true,-1.0
CD,Dark Side of the Moon,Pink Floyd,1973,Harvest,432,York Stacy,-1,03-30-2024 05:26:19,true,-1.0
Book,1984,George Orwell,1st,Secker and Warburg,345,York Scott Main Floor,-1,02-30-2024 05:26:19,true,-1.0
DVD,The Godfather,Francis Ford Coppola,1972,Paramount,567,York Scott,-1,03-30-2024 05:26:19,true,-1.0
Book,The Martian,Andy Weir,1st,Crown Publishing,7891,York Stacy,-1,03-20-2024 05:26:19,true,-1.0
